########################################################
zh         Imu
1017.64 -82744937.90920615
1039.95 -95006766.047568
1062.74 -106723291.47751766
1086.04 -117184715.56856441
1109.84 -125688108.58986168
1134.17 -131671523.59937374
1159.03 -134768966.31857958
1184.44 -134865182.10131547
1210.4 -132077483.43769358
1236.93 -126697108.31528154
1264.04 -119106126.7482657
1291.75 -109693806.95075096
1320.07 -98810137.98707148
1349.0 -86755071.47753826
1378.57 -73792537.8977776
1408.79 -60239405.344279096
1439.67 -46558071.100895256
1471.23 -33478085.027290322
1503.48 -22071645.67870373
1536.43 -13445729.417079607
1570.11 -7980355.832480777
1604.53 -5027754.821503562
1639.7 -3550081.5207654173
1675.64 -2783149.3862457606
1712.37 -2330524.553555819
1749.9 -2016664.3070103128
1788.26 -1768883.1640777958
1827.46 -1558346.083581798
1867.52 -1373734.1457018005
1908.45 -1210484.1069608282
1950.28 -1066301.7927125983
1993.03 -939615.4978915141
2036.72 -829030.2603724515
2081.37 -733137.9152323203
2126.99 -650542.2870343644
2173.61 -579881.2917461705
2221.26 -519877.7635962755
2269.95 -469340.6842799445
2319.7 -427083.7691627452
2370.55 -391829.8497847785
2422.51 -362019.88838630286
2475.61 -335492.9646020023
2529.88 -309119.41088246537
2585.33 -278614.99153201137
2642.0 -239099.56970421574
2699.91 -187859.80343146017
2759.09 -129451.97850824849
2819.57 -76682.32609185795
2881.38 -40460.21337167925
2944.53 -20854.722226088103
3009.08 -11606.086507497354
3075.04 -7446.95774795136
3142.44 -5582.386401020546
3211.32 -4732.0696085357795
3281.71 -4329.0319690041215
3353.65 -4121.923615157218
3427.16 -3998.500392368766
3502.28 -3908.230870333417
3579.05 -3828.3909014479636
3657.5 -3748.964693187176
3737.67 -3665.765064450989
3819.6 -3577.317855176199
3903.33 -3483.434155098518
3988.88 -3384.541364533837
4076.32 -3281.2484394859625
4165.67 -3174.333102943119
4256.98 -3064.5524812319304
4350.29 -2952.64370597275
4445.65 -2839.2703995837683
4543.1 -2724.9638091667302
4642.68 -2610.0224663255044
4744.45 -2494.2014521010647
4848.44 -2376.1500629136513
4954.72 -2252.0042685746816
5063.33 -2112.597377576717
5174.31 -1937.846997723547
5287.73 -1687.452671388864
5403.64 -1292.560517948652
5522.09 -674.8704263532895
5643.13 145.7576223798077
5766.82 876.8866578077937
5893.23 1050.7869068039095
6022.41 552.0141242363936
6154.42 -204.93543185571392
6289.32 -788.6341905189889
6427.18 -1092.4373690277928
6568.06 -1198.4964254903575
6712.03 -1200.9431097878057
6859.16 -1156.9130266279435
7009.51 -1094.541466838051
7163.16 -1026.556914318136
7320.17 -958.5334341342755
7480.63 -892.7974005391018
7644.6 -830.2819889661391
7812.17 -771.2948862473322
7983.41 -715.8781807660811
8158.399999999999 -663.9478490863187
8337.229999999998 -615.3687158194566
8519.979999999998 -569.9748585842934
8706.74 -527.6098885125552
8897.58 -488.12168955374216
9092.62 -451.330536325349
9291.92 -417.0862186115779
9495.6 -385.2359102474316
9703.74 -355.6368771259698
9916.44 -328.1487941816909
10133.8 -302.63795890221945
10355.9 -278.9819705532775
10582.9 -257.05230188158004
10814.9 -236.73785360295264
11052.0 -217.93223580976405
11294.2 -200.53929351719796
11541.8 -184.45070366308343
11794.8 -169.58408576612695
12053.3 -155.85395971782216
12317.5 -143.17583945641854
12587.5 -131.47628019914052
12863.4 -120.68575235916873
13145.4 -110.73551987959706
13433.6 -101.56556402381905
13728.0 -93.12220175311336
14028.9 -85.3467118716424
14336.4 -78.19002054643221
14650.7 -71.60442165002219
14971.8 -65.54948869562124
15300.0 -59.98193650002191
15635.4 -54.86543543504669
15978.1 -50.16575607615344
16328.3 -45.850016536849495
16686.2 -41.887696653284394
17052.0 -38.25084430096002
17425.8 -34.91472692435122
17807.7 -31.855811371662615
18198.1 -29.050574113830393
18597.0 -26.479977656248714
19004.6 -24.124886763440678
19421.2 -21.96752189411981
19846.9 -19.99358014945393
20281.9 -18.18458448324175
20726.5 -16.529032555721507
21180.8 -15.016840621630339
21645.1 -13.632858639874199
22119.6 -12.367655818388382
22604.4 -11.21163398494757
23099.9 -10.155367306469628
23606.2 -9.190831521565022
24123.7 -8.310007216689934
24652.5 -7.506076445551158
25192.8 -6.772755939039067
25745.1 -6.103792800620939
26309.4 -5.493925609184427
26886.1 -4.938486120471598
27475.4 -4.431555575789711
28077.7 -3.9697304648714904
28693.1 -3.5500282182725327
29322.1 -3.1675952205230566
29964.8 -2.8195492972452865
30621.6 -2.503118847905551
31292.8 -2.215539708691122
31978.8 -1.9539701699953524
32679.7 -1.7163302769211202
33396.1 -1.500436421429546
34128.1 -1.3044551903107253
34876.2 -1.1266537161881258
35640.7 -0.9651990412264617
36421.9 -0.8186915540269352
37220.2 -0.6858361662652523
38036.1 -0.5653889288596713
38869.8 -0.4562510846090568
39721.9 -0.35702158335965545
40592.5 -0.2674697078808624
41482.3 -0.1865010795094585
42391.6 -0.11294860286981252
43320.8 -0.04638341182327279
44270.4 0.014011118509553428
45240.8 0.0686627738329695
46232.5 0.11819202988674016
47245.9 0.16319331133154966
48281.5 0.20393681848141998
49339.8 0.24088266668325414
50421.3 0.27447570628313045
51526.5 0.3050250908341028
52656.0 0.33284840440081676
53810.2 0.35825249893746924
54989.7 0.3814357333833349
56195.0 0.40263754459419454
57426.8 0.4221408726226249
58685.6 0.4401131559635406
59972.0 0.4566445643376623
61286.5 0.47203953795103043
62629.9 0.48658427291959266
64002.7 0.5001180058072655
65405.7 0.5127517584493095
66839.3 0.5249343374662617
68304.4 0.5365519446702779
69801.6 0.5476291838865466
71331.7 0.5583573891888433
72895.19999999998 0.5691186282245259
74493.1 0.5796175286150732
76125.89999999998 0.5897606375874662
77794.6 0.6000834197810896
79499.8 0.6105025626305576
81242.5 0.6210843239424653
83023.3 0.6297895472859221
84843.1 0.6466661418657479
86702.8 0.6557335523027825
88603.3 0.660982230449151
90545.5 0.6756387279498393
92530.2 0.6942617697357503
94558.5 0.7086083963149241
96631.2 0.719064276536141
98749.3 0.7352485495080229
100914.0 0.7487259327571523
103126.0 0.7699599807179379
105386.0 0.7864787643999108
107696.0 0.7990008049591784
110057.0 0.824293363113899
112469.0 0.8466031068479125
114935.0 0.8686165998786729
117454.0 0.8943370416676731
120029.0 0.916780193013435
122660.0 0.9415752255869315
125348.0 0.97406343356158
128096.0 1.0048145288399044
130904.0 1.0341798623658578
133773.0 1.0672487389975893
136705.0 1.1011967004923169
139702.0 1.14021483640246
142764.0 1.1781575375102469
145893.0 1.2161028611644018
149091.0 1.2568565488150294
152359.0 1.2987935987154597
155699.0 1.3422121563813394
159112.0 1.3862340280579735
162600.0 1.4324250706039547
166164.0 1.4769826215505175
169806.0 1.520964716018411
173528.0 1.564656393071466
