########################################################
x         M
1.5023963610343323e-09 308096091.8790102
1.5233108158481867e-09 303866054.44636244
1.54451641515061e-09 299694093.75426555
1.5660172118855575e-09 295579412.4320545
1.5878173154169254e-09 291521224.05664635
1.6099208923139575e-09 287518753.00223565
1.632332167147584e-09 283571234.2920523
1.655055423297849e-09 279677913.45215124
1.6780950037725763e-09 275838046.3672228
1.7014553120374298e-09 272050899.1383615
1.7251408128575339e-09 268315747.9428071
1.7491560331508026e-09 264631878.89559528
1.7735055628531563e-09 260998587.91312233
1.798194055795775e-09 257415180.57857347
1.8232262305945686e-09 253880972.0092026
1.848606871552027e-09 250395286.7254326
1.8743408295716256e-09 246957458.52175313
1.900433023084961e-09 243566830.33939064
1.9268884389917887e-09 240222754.14073318
1.9537121336131523e-09 236924590.78546473
1.980909233657777e-09 233671709.90841505
2.0084849372019207e-09 230463489.79907507
2.0364445146828577e-09 227299317.2827805
2.0647933099061997e-09 224178587.60350922
2.0935367410672364e-09 221100704.30829826
2.1226803017864935e-09 218065079.13325316
2.1522295621597076e-09 215071131.8911065
2.1821901698224168e-09 212118290.36033076
2.21256785102937e-09 209205990.17577916
2.2433684117489684e-09 206333674.7208116
2.2745977387729308e-09 203500795.02091372
2.3062618008414193e-09 200706809.63877574
2.3383666497838174e-09 197951184.57080618
2.3709184216753967e-09 195233393.14507562
2.403923338010076e-09 192552915.92064565
2.4373877068895167e-09 189909240.58830184
2.4713179242287615e-09 187301861.8726331
2.5057204749786638e-09 184730281.4354534
2.5406019343653276e-09 182194007.7805701
2.5759689691468115e-09 179692556.1598357
2.611828338887312e-09 177225448.4805021
2.6481868972490988e-09 174792213.2138456
2.685051593302428e-09 172392385.30504954
2.722429472853688e-09 170025506.08431116
2.7603276797920387e-09 167691123.17918435
2.7987534574547965e-09 165388790.42812008
2.837714150011825e-09 163118067.79518774
2.8772172038691965e-09 160878521.28597662
2.917270169092395e-09 158669722.86464646
2.95788070084933e-09 156491250.3721242
2.9990565608734425e-09 154342687.4454104
3.0408056189471723e-09 152223623.4380053
3.0831358544060773e-09 150133653.34142345
3.1260553576638983e-09 148072377.70778587
3.169572331758842e-09 146039402.5734749
3.2136950939214023e-09 144034339.3838397
3.2584320771639956e-09 142056804.91892648
3.30379183189273e-09 140106421.22024533
3.3497830275416143e-09 138182815.51852152
3.396414454229512e-09 136285620.16246015
3.4436950244401597e-09 134414472.54846948
3.4916337747255798e-09 132569015.05136234
3.5402398674332005e-09 130748894.95600703
3.5895225924570176e-09 128953764.38990653
3.6394913690131375e-09 127183280.25671858
3.6901557474400364e-09 125437104.17067881
3.741525411023878e-09 123714902.391923
3.79361017784924e-09 122016345.76270552
3.846420002675617e-09 120341109.64448456
3.8999649788400174e-09 118688873.85587794
3.954255340186081e-09 117059322.61147004
4.009301463020024e-09 115452144.46144803
4.065113868093824e-09 113867032.23208812
4.1217032226160156e-09 112303682.96703666
4.179080342290464e-09 110761797.86941168
4.237256193383533e-09 109241082.2446952
4.296241894820026e-09 107741245.44440866
4.356048720308303e-09 106262000.81056006
4.416688100494976e-09 104803065.62086193
4.478171625149614e-09 103364161.0346869
4.540511045379836e-09 101945012.03978398
4.6037182758772715e-09 100545347.3997104
4.6678053971947535e-09 99164899.60199119
4.7327846580552404e-09 97803404.80699277
4.7986684776928595e-09 96460602.79749769
4.865469448226548e-09 95136236.92896385
4.933200337066738e-09 93830054.08048056
5.001874089355543e-09 92541804.60638465
5.071503830440909e-09 91271242.28855145
5.142102868385213e-09 90018124.28933427
5.2136846965087825e-09 88782211.10514952
5.286262995968817e-09 87563266.52070363
5.359851638374225e-09 86361057.5638464
5.434464688436839e-09 85175354.46104203
5.5101164066595534e-09 84005930.59345743
5.586821252061881e-09 82852562.45364273
5.664593884943452e-09 81715029.602819
5.743449169685971e-09 80593114.62874496
5.823402177594197e-09 79486603.10416384
5.904468189776459e-09 78395283.54581891
5.9866627000652796e-09 77318947.37403622
6.070001417978642e-09 76257388.87285884
6.154500271722502e-09 75210405.15072651
6.240175411235073e-09 74177796.10170203
6.327043211273508e-09 73159364.36722368
6.415120274543539e-09 72154915.2983834
6.5044234348726906e-09 71164256.91872813
6.5949697604276646e-09 70187199.88756362
6.686776556976507e-09 69223557.46376838
6.7798613711962036e-09 68273145.47010404
6.874241994026293e-09 67335782.25801417
6.969936464069194e-09 66411288.672902845
7.066963071037847e-09 65499488.019897215
7.165340359251355e-09 64600206.030075945
7.265087131179289e-09 63713270.8271597
7.366222451035333e-09 62838512.89466427
7.468765648420953e-09 61975765.04349857
7.572736322019783e-09 61124862.38001188
7.678154343343452e-09 60285642.274480306
7.785039860529543e-09 59457944.330019414
7.893413302192442e-09 58641610.35193237
8.003295381327756e-09 57836484.317471415
8.114707099271131e-09 57042412.34602199
8.227669749712142e-09 56259242.669687405
8.342204922764082e-09 55486825.60428572
8.45833450909039e-09 54725013.52074034
8.576080704088525e-09 53973660.81686118
8.695466012132098e-09 53232623.88952157
8.816513250872042e-09 52501761.10720901
8.939245555597652e-09 51780932.782954074
9.063686383658354e-09 51070001.14763512
9.18985951894701e-09 50368830.32364701
9.31778907644565e-09 49677286.29893003
9.447499506834465e-09 48995236.90135748
9.579015601164974e-09 48322551.77347415
9.712362495598242e-09 47659102.34758027
9.847565676209063e-09 47004761.82116149
9.984650983857007e-09 46359405.13265099
1.012364461912528e-08 45722908.93752834
1.0264573147328352e-08 45095151.58474538
1.040746350358927e-08 44476013.09347419
1.0552342997987676e-08 43865375.130177
1.0699239320779464e-08 43263120.985989206
1.084818054768912e-08 42669135.55441114
1.0999195145275728e-08 42083305.30931341
