########################################################
zh         Jbb
20281.9 0.0004830195091468526
20726.5 0.00046350248678542726
21180.8 0.0004445536445313713
21645.1 0.00042606480106346066
22119.6 0.0004080564644205545
22604.4 0.000390518001520233
23099.9 0.0003734311808626378
23606.2 0.0003567875739282824
24123.7 0.0003405657199295649
24652.5 0.00032475442786077287
25192.8 0.0003093472277659517
25745.1 0.00029432419467408273
26309.4 0.00027967254221283357
26886.1 0.00026540130487899896
27475.4 0.0002514235573900653
28077.7 0.00023776862380597494
28693.1 0.00022447355694443435
29322.1 0.00021144969650941162
29964.8 0.00019869998621138522
30621.6 0.00018622623360307206
31292.8 0.0001740124490470698
31978.8 0.0001620179157557737
32679.7 0.0001502400504847807
33396.1 0.00013865856254087483
34128.1 0.00012726211651698308
34876.2 0.00011603875701153739
35640.7 0.00010494751150639213
36421.9 9.397589767897244e-05
37220.2 8.311068060921391e-05
38036.1 7.233141404026228e-05
38869.8 6.16203824321572e-05
39721.9 5.090485529533548e-05
40592.5 4.026046518509907e-05
41482.3 2.9636583262998215e-05
42391.6 1.8948292915496948e-05
43320.8 8.214735154582486e-06
44270.4 -2.619667247393334e-06
45240.8 -1.355304080390314e-05
46232.5 -2.4628975519958712e-05
47245.9 -3.5900654796621606e-05
48281.5 -4.736278393011745e-05
49339.8 -5.905935631222124e-05
50421.3 -7.104421251863911e-05
51526.5 -8.334928589612788e-05
52656.0 -9.601870712886221e-05
53810.2 -0.00010910394284420998
54989.7 -0.00012263500238463877
56195.0 -0.00013666212035665613
57426.8 -0.00015126332955519087
58685.6 -0.00016648799953788984
59972.0 -0.00018236408827524905
61286.5 -0.00019901239290329165
62629.9 -0.00021657187911942183
64002.7 -0.00023499463104492864
65405.7 -0.000254352410219736
66839.3 -0.0002748997894010015
68304.4 -0.0002966355358549975
69801.6 -0.0003196242628243362
71331.7 -0.00034403957836383683
72895.19999999998 -0.00037020291341760894
74493.1 -0.00039803506384964576
76125.89999999998 -0.0004275595224528337
77794.6 -0.00045927727984605704
79499.8 -0.0004932786184203303
81242.5 -0.0005297835603365626
83023.3 -0.0005671332679697029
84843.1 -0.0006147678356945314
86702.8 -0.0006581121553843137
88603.3 -0.0007003324262989871
90545.5 -0.0007557382749629367
92530.2 -0.0008198260423463721
94558.5 -0.0008833797508215873
96631.2 -0.0009463479509029468
98749.3 -0.0010215484173674398
100914.0 -0.0010982245410513566
103126.0 -0.0011922799516707779
105386.0 -0.0012856831675737874
107696.0 -0.0013789098707971958
110057.0 -0.0015018123612822107
112469.0 -0.0016283646692928158
114935.0 -0.0017637970393212382
117454.0 -0.0019171692712327305
120029.0 -0.002074772247442052
122660.0 -0.0022495832703865737
125348.0 -0.00245680363176725
128096.0 -0.002675559257846929
130904.0 -0.002907154133704473
133773.0 -0.0031672071818204216
136705.0 -0.0034499723703788066
139702.0 -0.0037712295332735686
142764.0 -0.0041137680352911175
145893.0 -0.00448276664596528
149091.0 -0.004891071223556941
152359.0 -0.005335807409390131
155699.0 -0.005821373406851786
159112.0 -0.006347221025962746
162600.0 -0.006924094389987291
166164.0 -0.007537154366248293
169806.0 -0.008193913987726335
173528.0 -0.008898823595039032
177332.0 -0.009663779548098508
181219.0 -0.010477012401203079
185191.0 -0.011333226178755096
189251.0 -0.01223790529757679
193399.0 -0.013186877175445907
197638.0 -0.014201781426160423
201970.0 -0.01526005894451321
206397.0 -0.016348460190925215
210922.0 -0.0174695946831194
215545.0 -0.018650340729779544
220270.0 -0.019864069051680866
225098.0 -0.021096634179848556
230032.0 -0.022360720611904722
235074.0 -0.023652571726553162
240227.0 -0.02496842666586299
245493.0 -0.026294654908957688
250874.0 -0.02764351164410281
256373.0 -0.029002932459734482
261992.0 -0.03037068612609653
267735.0 -0.031753494163856005
273604.0 -0.033144793431499286
279601.0 -0.03455077001638984
285730.0 -0.035967018380094196
291993.0 -0.037385251582503054
298394.0 -0.03884506579298702
304934.0 -0.04030977964134802
311618.0 -0.041788305458300146
318449.0 -0.043311669179972145
325429.0 -0.04486478738696492
332563.0 -0.04647135328283042
339852.0 -0.04811468730658891
347302.0 -0.04981477826555508
354914.0 -0.05158954727255455
362694.0 -0.053435921493764194
370644.0 -0.055364807036990205
378769.0 -0.05738721165738547
387071.0 -0.05951940035222081
395556.0 -0.06176181946438475
404226.0 -0.06412700488522682
413087.0 -0.06662405381457126
422141.0 -0.06926426852136314
431394.0 -0.07207567066284115
440851.0 -0.07504637175688178
450514.0 -0.07818713949201772
460389.0 -0.08152073025629658
470481.0 -0.08506755842836033
480793.0 -0.08882633290021213
491332.0 -0.09279877469012343
502102.0 -0.09700943423444142
513108.0 -0.10148296314382588
524355.0 -0.10621759984704382
535849.0 -0.11122352123558987
547595.0 -0.11653177678470361
559598.0 -0.12215121969879217
571864.0 -0.12809439263628764
584399.0 -0.1343832468228705
597209.0 -0.1410372046843118
610299.0 -0.14806946377118058
623677.0 -0.15551215396436402
637348.0 -0.16337697077547797
651318.0 -0.17168441254968836
665595.0 -0.18047458583621667
680185.0 -0.18976538036406732
695094.0 -0.19958403656147095
710330.0 -0.20995857693363718
725901.0 -0.2209186227579587
741812.0 -0.23250666056514868
758072.0 -0.24473639222148558
774689.0 -0.25766684375385074
791670.0 -0.2713370259865582
809023.0 -0.2857648656491647
826757.0 -0.30101866482174655
844879.0 -0.3171261726863088
863399.0 -0.33414128293806034
882324.0 -0.352115256041615
901664.0 -0.3710990011058741
921429.0 -0.3911659023115721
941626.0 -0.41234977542978957
962266.0 -0.4347284515558689
983359.0 -0.45837169939753863
1004910.0 -0.48333179240030066
1026940.0 -0.5097107996259833
1049450.0 -0.5375626434965772
1072460.0 -0.5669948309484161
1095960.0 -0.5980560685591101
1119990.0 -0.6308857468275519
1144540.0 -0.665553949886375
1169620.0 -0.702147649072618
1195260.0 -0.7408280243819947
1221460.0 -0.7816726565900556
1248240.0 -0.8248080170565641
1275600.0 -0.8703674234482968
1303560.0 -0.9184844035070991
1332130.0 -0.9692878271781229
1361330.0 -1.022951822262895
1391170.0 -1.07963610808563
1421660.0 -1.1394875546710885
1452830.0 -1.2027164109330677
1484670.0 -1.269481704455723
1517220.0 -1.34000469389213
1550470.0 -1.4144547036724813
1584460.0 -1.4931085150423264
1619190.0 -1.5761687941510996
1654680.0 -1.6638738985550479
1690950.0 -1.7564872186714577
1728020.0 -1.854330643129554
1765890.0 -1.9576353017272794
1804600.0 -2.0667519572295276
1844160.0 -2.1819797613147465
1884580.0 -2.3036520894084624
1925890.0 -2.4321544447074714
1968110.0 -2.5678795813197013
2011250.0 -2.711198560165382
2055330.0 -2.862517151030609
2100390.0 -3.022376005083661
2146430.0 -3.1911618717833576
2193470.0 -3.369360186225844
2241550.0 -3.557579708246145
2290690.0 -3.756369516114539
2340900.0 -3.9662614794227338
2392210.0 -4.18792075079039
2444650.0 -4.422016760954193
2498230.0 -4.669174103998323
2553000.0 -4.93026085238192
2608960.0 -5.205894313470736
2666140.0 -5.4969105179504325
2724580.0 -5.804276180022811
2784310.0 -6.128937002769597
2845340.0 -6.471684921013669
2907710.0 -6.833639616356791
2971440.0 -7.21580254383818
3036580.0 -7.619426572319668
3103140.0 -8.045611841261461
3171160.0 -8.495645362205948
3240670.0 -8.970854392647965
3311700.0 -9.472600374030122
3384290.0 -10.002463763123203
3458480.0 -10.562098616450896
3534290.0 -11.152929661594172
3611760.0 -11.776778760190624
3690920.0 -12.435521847600526
3771830.0 -13.131092671499303
3854510.0 -13.865718153250867
3939000.0 -14.641393107287058
4025340.0 -15.460231414624815
4113570.0 -16.325025278551493
4203740.0 -17.238162103521205
4295880.0 -18.202243061550035
4390050.0 -19.22036252627086
4486280.0 -20.295338473244755
4584620.0 -21.430403686405015
4685110.0 -22.628797156033357
4787810.0 -23.89405687297338
4892750.0 -25.23002145346905
5000000.0 -25.916395759101096
